File_name,File_path,LOC,LLOC,SLOC,Halstead_Volume,CC,h,N,calculated_length,Buggy
zigzagiterator.py,C:\dataset\algorithms-master\queue\zigzagiterator.py,31,19,17,0,6,0,0,0,N
__init__.py,C:\dataset\algorithms-master\queue\__init__.py,1,1,1,0,1,0,0,0,N
binary_search.py,C:\dataset\algorithms-master\search\binary_search.py,37,26,26,146.9455552,5,20,34,67.75720079,N
first_occurance.py,C:\dataset\algorithms-master\search\first_occurance.py,45,34,35,265,8,32,53,132.57125,N
last_occurance.py,C:\dataset\algorithms-master\search\last_occurance.py,47,36,37,282.4860707,8,33,56,138.568425,N
randomized_set.py,C:\dataset\algorithms-master\set\randomized_set.py,40,18,18,4.754887502,2,3,3,2,N
set_covering.py,C:\dataset\algorithms-master\set\set_covering.py,115,53,51,226.9977354,16,33,45,138.568425,N
bubble_sort.py,C:\dataset\algorithms-master\sort\bubble_sort.py,28,15,16,49.82892142,4,10,15,24.40637196,N
comb_sort.py,C:\dataset\algorithms-master\sort\comb_sort.py,41,25,26,133.4376,5,18,32,58.52932501,N
counting_sort.py,C:\dataset\algorithms-master\sort\counting_sort.py,46,25,25,366.2973246,7,34,72,150.1157128,N
heap_sort.py,C:\dataset\algorithms-master\sort\heap_sort.py,93,54,54,782.6647003,14,54,136,273.4342722,N
insertion_sort.py,C:\dataset\algorithms-master\sort\insertion_sort.py,14,9,9,59.79470571,4,10,18,24.40637196,N
meeting_rooms.py,C:\dataset\algorithms-master\sort\meeting_rooms.py,21,7,6,15.509775,3,6,6,10,N
merge_sort.py,C:\dataset\algorithms-master\sort\merge_sort.py,40,25,24,100.0782,7,18,24,59.71535681,N
quick_sort.py,C:\dataset\algorithms-master\sort\quick_sort.py,25,20,19,120,4,16,30,51.01955001,N
selection_sort.py,C:\dataset\algorithms-master\sort\selection_sort.py,16,8,8,15.509775,4,6,6,10,N
sort_colors.py,C:\dataset\algorithms-master\sort\sort_colors.py,30,15,15,51.89147428,5,11,15,28.7548875,N
topsort.py,C:\dataset\algorithms-master\sort\topsort.py,58,31,37,36,9,8,12,17.509775,N
wiggle_sort.py,C:\dataset\algorithms-master\sort\wiggle_sort.py,14,9,9,91.37651813,4,14,24,41.21928095,N
longest_abs_path.py,C:\dataset\algorithms-master\stack\longest_abs_path.py,65,23,23,76.14709844,4,14,20,40.13896549,N
simplify_path.py,C:\dataset\algorithms-master\stack\simplify_path.py,32,14,14,27,5,8,9,16.36452798,N
stack.py,C:\dataset\algorithms-master\stack\stack.py,113,76,75,280,12,32,56,135.7478892,N
valid_parenthesis.py,C:\dataset\algorithms-master\stack\valid_parenthesis.py,38,25,26,66.60791493,7,13,18,37.97416845,N
__init__.py,C:\dataset\algorithms-master\stack\__init__.py,1,1,1,0,1,0,0,0,N
add_binary.py,C:\dataset\algorithms-master\string\add_binary.py,26,14,14,258.5241845,6,26,55,100.3621072,N
decode_string.py,C:\dataset\algorithms-master\string\decode_string.py,44,21,19,79.95445336,5,14,21,42.80863531,N
encode_decode.py,C:\dataset\algorithms-master\string\encode_decode.py,55,22,20,105.4860461,3,15,27,50.10571634,N
group_anagrams.py,C:\dataset\algorithms-master\string\group_anagrams.py,29,15,15,22.45883938,3,7,8,12.7548875,N
int_to_roman.py,C:\dataset\algorithms-master\string\int_to_roman.py,17,7,7,105.4860461,1,15,27,47.77443751,N
is_palindrome.py,C:\dataset\algorithms-master\string\is_palindrome.py,33,12,12,154.2872251,7,18,37,58.52932501,N
license_number.py,C:\dataset\algorithms-master\string\license_number.py,19,16,15,97.70233281,6,19,23,62.67103446,N
make_sentence.py,C:\dataset\algorithms-master\string\make_sentence.py,34,16,17,116.6920586,8,20,27,70.21299941,N
multiply_strings.py,C:\dataset\algorithms-master\string\multiply_strings.py,36,20,20,112.587975,4,18,27,61.30296891,N
one_edit_distance.py,C:\dataset\algorithms-master\string\one_edit_distance.py,35,27,23,468.4400638,14,50,83,252.9808689,N
rabin_karp.py,C:\dataset\algorithms-master\string\rabin_karp.py,48,32,31,500.6752127,9,54,87,278.08385,N
reverse_string.py,C:\dataset\algorithms-master\string\reverse_string.py,28,24,22,98.99122797,3,14,26,40.13896549,N
reverse_vowel.py,C:\dataset\algorithms-master\string\reverse_vowel.py,17,15,15,144,6,16,36,49.66338828,N
reverse_words.py,C:\dataset\algorithms-master\string\reverse_words.py,31,26,26,158.1234272,9,21,36,74.11313394,N
roman_to_int.py,C:\dataset\algorithms-master\string\roman_to_int.py,20,13,12,92,4,16,23,49.66338828,N
word_squares.py,C:\dataset\algorithms-master\string\word_squares.py,70,23,22,27,4,8,9,17.509775,N
binary_tree_paths.py,C:\dataset\algorithms-master\tree\binary_tree_paths.py,14,13,13,82.04470251,6,15,21,47.77443751,N
bintree2list.py,C:\dataset\algorithms-master\tree\bintree2list.py,49,41,41,6.339850003,9,3,4,2,N
deepest_left.py,C:\dataset\algorithms-master\tree\deepest_left.py,47,28,28,44.37895002,5,9,14,19.60964047,N
invert_tree.py,C:\dataset\algorithms-master\tree\invert_tree.py,10,8,8,2,4,2,2,0,N
is_balanced.py,C:\dataset\algorithms-master\tree\is_balanced.py,33,18,18,155.1145107,6,26,33,99.05865003,N
is_subtree.py,C:\dataset\algorithms-master\tree\is_subtree.py,69,19,19,71.69925001,9,12,20,33.28421252,N
is_symmetric.py,C:\dataset\algorithms-master\tree\is_symmetric.py,52,26,26,192.568425,15,24,42,92.32026323,N
longest_consecutive.py,C:\dataset\algorithms-master\tree\longest_consecutive.py,45,16,15,50.71880002,4,9,16,20.26466251,N
max_height.py,C:\dataset\algorithms-master\tree\max_height.py,54,36,36,11.60964047,7,5,5,6.754887502,N
max_path_sum.py,C:\dataset\algorithms-master\tree\max_path_sum.py,14,11,11,33,2,8,11,17.509775,N
min_height.py,C:\dataset\algorithms-master\tree\min_height.py,56,43,43,114.6940429,12,19,27,66.60335893,N
path_sum.py,C:\dataset\algorithms-master\tree\path_sum.py,63,35,35,287.343386,20,31,58,131.6061797,N
path_sum2.py,C:\dataset\algorithms-master\tree\path_sum2.py,70,42,42,362.1069984,21,38,69,178.0746464,N
pretty_print.py,C:\dataset\algorithms-master\tree\pretty_print.py,20,9,9,4.754887502,4,3,3,2,N
same_tree.py,C:\dataset\algorithms-master\tree\same_tree.py,21,6,6,58.81033752,7,11,17,28.7548875,N
tree.py,C:\dataset\algorithms-master\tree\tree.py,8,5,5,0,1,0,0,0,N
array2bst.py,C:\dataset\algorithms-master\tree\bst\array2bst.py,19,10,8,24,2,8,8,16.36452798,N
BSTIterator.py,C:\dataset\algorithms-master\tree\bst\BSTIterator.py,24,17,17,0,4,0,0,0,N
bst_closest_value.py,C:\dataset\algorithms-master\tree\bst\bst_closest_value.py,28,8,7,22.45883938,3,7,8,12.7548875,N
delete_node.py,C:\dataset\algorithms-master\tree\bst\delete_node.py,66,18,17,20.67970001,6,6,8,9.509775004,N
is_bst.py,C:\dataset\algorithms-master\tree\bst\is_bst.py,42,15,15,33,7,8,11,16.36452798,N
kth_smallest.py,C:\dataset\algorithms-master\tree\bst\kth_smallest.py,54,41,41,64.72503367,7,14,17,41.21928095,N
predecessor.py,C:\dataset\algorithms-master\tree\bst\predecessor.py,9,9,9,3,3,2,3,0,N
serialize_deserialize.py,C:\dataset\algorithms-master\tree\bst\serialize_deserialize.py,26,22,22,4.754887502,1,3,3,2,N
successor.py,C:\dataset\algorithms-master\tree\bst\successor.py,9,9,9,3,3,2,3,0,N
unique_bst.py,C:\dataset\algorithms-master\tree\bst\unique_bst.py,40,8,8,98.99122797,3,14,26,41.21928095,N
segment_tree.py,C:\dataset\algorithms-master\tree\Segment_Tree\segment_tree.py,49,28,28,664.4387727,12,53,116,262.6791822,N
inorder.py,C:\dataset\algorithms-master\tree\traversal\inorder.py,34,30,30,22.45883938,6,7,8,12.7548875,N
level_order.py,C:\dataset\algorithms-master\tree\traversal\level_order.py,37,17,17,2,6,2,2,0,N
zigzag.py,C:\dataset\algorithms-master\tree\traversal\zigzag.py,41,20,19,19.65148445,6,7,7,12.7548875,N
count_islands.py,C:\dataset\algorithms-master\union-find\count_islands.py,78,35,35,163.4500673,7,28,34,111.8901503,N
install.py,C:\dataset\autojump-master\install.py,236,139,191,773.1532195,31,87,120,518.7906981,N
uninstall.py,C:\dataset\autojump-master\uninstall.py,217,125,176,157.8911105,24,25,34,100.2386659,N
autojump_argparse.py,C:\dataset\autojump-master\bin\autojump_argparse.py,2444,1246,1550,8829.139643,295,539,973,4782.053799,Y
autojump_data.py,C:\dataset\autojump-master\bin\autojump_data.py,147,83,94,183.3052635,19,31,37,128.041925,Y
autojump_match.py,C:\dataset\autojump-master\bin\autojump_match.py,129,41,49,147.1612434,5,22,33,85.46551026,N
autojump_utils.py,C:\dataset\autojump-master\bin\autojump_utils.py,211,116,126,404.73122,30,52,71,264.2149912,N
__init__.py,C:\dataset\autojump-master\tests\__init__.py,0,0,0,0,1,0,0,0,N
__init__.py,C:\dataset\autojump-master\tests\integration\__init__.py,0,0,0,0,1,0,0,0,N
autojump_match_test.py,C:\dataset\autojump-master\tests\unit\autojump_match_test.py,131,80,101,404.2591088,25,49,72,268.0782,Y
__init__.py,C:\dataset\autojump-master\tests\unit\__init__.py,0,0,0,0,1,0,0,0,N
autojump_ipython.py,C:\dataset\autojump-master\tools\autojump_ipython.py,39,11,15,15.509775,2,6,6,10,Y
sort.py,C:\dataset\awesome-python-master\sort.py,80,43,42,168.2574223,15,28,35,115.6515655,N
setup.py,C:\dataset\click-master\setup.py,28,7,22,0,2,0,0,0,N
core.py,C:\dataset\click-master\click\core.py,1765,867,942,6172.246109,269,407,712,3430.910696,N
decorators.py,C:\dataset\click-master\click\decorators.py,308,153,158,350.5006325,11,42,65,199.17639,N
exceptions.py,C:\dataset\click-master\click\exceptions.py,220,114,124,843.7858998,35,84,132,502.1940481,N
formatting.py,C:\dataset\click-master\click\formatting.py,256,147,155,816.0050472,26,83,128,482.2883479,N
globals.py,C:\dataset\click-master\click\globals.py,48,18,18,31.69925001,5,9,10,20.26466251,N
parser.py,C:\dataset\click-master\click\parser.py,426,255,255,1390.691511,71,121,201,774.6399365,N
termui.py,C:\dataset\click-master\click\termui.py,549,184,204,1093.900954,61,111,161,705.6986407,Y
testing.py,C:\dataset\click-master\click\testing.py,333,194,205,353.5079652,35,46,64,223.4212455,Y
types.py,C:\dataset\click-master\click\types.py,591,302,340,2269.441449,95,168,307,1179.542296,N
utils.py,C:\dataset\click-master\click\utils.py,416,172,185,769.2637926,51,82,121,474.6857933,Y
_bashcomplete.py,C:\dataset\click-master\click\_bashcomplete.py,217,118,137,662.2803164,54,76,106,420.3783365,N
_compat.py,C:\dataset\click-master\click\_compat.py,651,429,443,1273.288964,94,118,185,766.2614164,Y
_termui_impl.py,C:\dataset\click-master\click\_termui_impl.py,556,440,454,3041.038645,119,232,387,1735.348331,Y
_textwrap.py,C:\dataset\click-master\click\_textwrap.py,38,34,32,84,5,16,21,49.66338828,N
_unicodefun.py,C:\dataset\click-master\click\_unicodefun.py,120,70,99,359.0315271,24,46,65,217.5786534,Y
_winconsole.py,C:\dataset\click-master\click\_winconsole.py,273,167,198,625.1868677,32,70,102,382.7824477,Y
__init__.py,C:\dataset\click-master\click\__init__.py,98,12,49,0,1,0,0,0,N
clickdoctools.py,C:\dataset\click-master\docs\clickdoctools.py,275,214,226,353.5079652,21,46,64,225.782171,Y
conf.py,C:\dataset\click-master\docs\conf.py,219,23,35,4.754887502,1,3,3,2,N
aliases.py,C:\dataset\click-master\examples\aliases\aliases.py,111,58,61,84.95855027,10,19,20,63.61549134,N
setup.py,C:\dataset\click-master\examples\aliases\setup.py,15,2,14,0,1,0,0,0,N
bashcompletion.py,C:\dataset\click-master\examples\bashcompletion\bashcompletion.py,41,27,27,39.86313714,5,10,12,26,N
setup.py,C:\dataset\click-master\examples\bashcompletion\setup.py,15,2,14,0,1,0,0,0,N
colors.py,C:\dataset\click-master\examples\colors\colors.py,26,12,15,20.89735285,4,5,9,8,N
setup.py,C:\dataset\click-master\examples\colors\setup.py,17,2,16,0,1,0,0,0,N
setup.py,C:\dataset\click-master\examples\complex\setup.py,15,2,14,0,1,0,0,0,N
cli.py,C:\dataset\click-master\examples\complex\complex\cli.py,65,42,47,69.4868683,9,17,17,53.56352281,N
__init__.py,C:\dataset\click-master\examples\complex\complex\__init__.py,0,0,0,0,1,0,0,0,N
cmd_init.py,C:\dataset\click-master\examples\complex\complex\commands\cmd_init.py,13,9,10,4.754887502,2,3,3,2,N
cmd_status.py,C:\dataset\click-master\examples\complex\complex\commands\cmd_status.py,10,7,7,0,1,0,0,0,N
__init__.py,C:\dataset\click-master\examples\complex\complex\commands\__init__.py,0,0,0,0,1,0,0,0,N
imagepipe.py,C:\dataset\click-master\examples\imagepipe\imagepipe.py,266,172,184,805.4319953,37,84,126,492.71883,N
setup.py,C:\dataset\click-master\examples\imagepipe\setup.py,16,2,15,0,1,0,0,0,N
inout.py,C:\dataset\click-master\examples\inout\inout.py,30,12,12,2,4,2,2,0,N
setup.py,C:\dataset\click-master\examples\inout\setup.py,15,2,14,0,1,0,0,0,N
naval.py,C:\dataset\click-master\examples\naval\naval.py,70,37,41,51.89147428,1,11,15,33.21928095,N
setup.py,C:\dataset\click-master\examples\naval\setup.py,15,2,14,0,1,0,0,0,N
repo.py,C:\dataset\click-master\examples\repo\repo.py,151,87,97,228.9358279,11,34,45,148.033447,N
setup.py,C:\dataset\click-master\examples\repo\setup.py,15,2,14,0,1,0,0,0,N
setup.py,C:\dataset\click-master\examples\termui\setup.py,17,2,16,0,1,0,0,0,N
termui.py,C:\dataset\click-master\examples\termui\termui.py,156,104,115,313.9937576,24,40,59,182.1094106,Y
setup.py,C:\dataset\click-master\examples\validation\setup.py,15,2,14,0,1,0,0,0,N
validation.py,C:\dataset\click-master\examples\validation\validation.py,44,28,31,182.679487,8,28,38,110.4385619,N
conftest.py,C:\dataset\click-master\tests\conftest.py,8,5,5,0,1,0,0,0,N
test_arguments.py,C:\dataset\click-master\tests\test_arguments.py,289,199,228,1168.639529,53,111,172,712.7095543,Y
test_bashcomplete.py,C:\dataset\click-master\tests\test_bashcomplete.py,286,220,226,1682.927913,77,156,231,1121.085127,Y
test_basic.py,C:\dataset\click-master\tests\test_basic.py,498,349,382,2475.534421,130,151,342,1052.120685,Y
